Date,score,sentiment
2024-04-23,392,neutral
2024-04-24,2982,neutral
2024-04-25,995,neutral
2024-04-26,5231,neutral
2024-04-27,261,neutral
2024-04-28,56,neutral
2024-04-29,1270,neutral
2024-04-30,156,neutral
2024-05-01,17,neutral
2024-05-02,1082,neutral
2024-05-03,280,neutral
2024-05-04,16,neutral
2024-05-05,1,positive
2024-05-06,556,neutral
2024-05-07,702,neutral
2024-05-08,1353,neutral
2024-05-09,2021,neutral
2024-05-10,1942,neutral
2024-05-11,1128,neutral
2024-05-12,29,neutral
2024-05-13,6011,neutral
2024-05-14,3145,neutral
2024-05-15,1706,neutral
2024-05-16,1027,neutral
2024-05-17,1516,neutral
2024-05-18,1346,neutral
2024-05-19,1174,neutral
2024-05-20,355,neutral
2024-05-21,869,neutral
2024-05-22,181,neutral
2024-05-23,6305,neutral
2024-05-24,3368,neutral
2024-05-25,119,neutral
2024-05-26,19,neutral
2024-05-27,369,neutral
2024-05-28,1381,neutral
2024-05-29,2301,neutral
2024-05-30,949,neutral
2024-05-31,256,neutral
2024-06-01,1551,neutral
2024-06-02,679,neutral
2024-06-03,941,neutral
2024-06-04,156,neutral
2024-06-05,2020,neutral
2024-06-06,2232,neutral
2024-06-07,1450,neutral
2024-06-08,58,neutral
2024-06-09,23,neutral
2024-06-10,4577,neutral
2024-06-11,2484,neutral
2024-06-12,263,neutral
2024-06-13,2211,neutral
2024-06-14,611,neutral
2024-06-15,849,neutral
2024-06-16,555,neutral
2024-06-17,828,neutral
2024-06-18,41,neutral
2024-06-19,185,neutral
2024-06-20,33,neutral
2024-06-21,2703,neutral
2024-06-22,3357,neutral
2024-06-23,92,neutral
2024-06-24,2441,neutral
2024-06-25,596,neutral
